name,asciiname,population
Step‰Ûªanavan,Step'anavan,23782
Spitak,Spitak,15059
Sevan,Sevan,17083
Masis,Masis,18911
Vanadzor,Vanadzor,101098
Gavarr,Gavarr,21680
Hrazdan,Hrazdan,40795
Armavir,Armavir,25963
Gyumri,Gyumri,148381
Ashtarak,Ashtarak,18779
Abovyan,Abovyan,35673
Saurimo,Saurimo,40498
Lucapa,Lucapa,20115
Luau,Luau,18465
UÌ_ge,Uige,60008
Soio,Soio,67491
N'zeto,N'zeto,18352
N‰Ûªdalatando,N'dalatando,383100
Mbanza Congo,Mbanza Congo,24220
Malanje,Malanje,87046
Luanda,Luanda,2776168
Caxito,Caxito,28224
Cabinda,Cabinda,66020
Sumbe,Sumbe,33277
Namibe,Namibe,80149
Menongue,Menongue,32203
Luena,Luena,21115
Lubango,Lubango,102541
Longonjo,Longonjo,24346
Lobito,Lobito,207932
Cuito,Cuito,113624
Huambo,Huambo,226145
Catumbela,Catumbela,16977
Catabola,Catabola,18855
Camacupa,Camacupa,19150
Caluquembe,Caluquembe,30300
CaÌÁla,Caala,21205
Benguela,Benguela,151226
ZÌÁrate,Zarate,88781
Villa OrtÌ¼zar,Villa Ortuzar,22500
Villa Ocampo,Villa Ocampo,19101
Villa Lugano,Villa Lugano,114000
Villaguay,Villaguay,32027
Villa Gesell,Villa Gesell,23257
Tigre,Tigre,31106
Tandil,Tandil,104325
San Vicente,San Vicente,38247
Santo TomÌ©,Santo Tome,22634
Santa Elena,Santa Elena,18410
San Pedro,San Pedro,23736
San Luis del Palmar,San Luis del Palmar,15347
San Lorenzo,San Lorenzo,47626
San Javier,San Javier,15606
San Isidro,San Isidro,45190
Saladas,Saladas,18349
Retiro,Retiro,38635
Resistencia,Resistencia,387158
Reconquista,Reconquista,90184
Quilmes,Quilmes,518788
Puerto Rico,Puerto Rico,17491
Puerto IguazÌ¼,Puerto Iguazu,32038
Puerto Esperanza,Puerto Esperanza,15579
Puerto Eldorado,Puerto Eldorado,54189
Posadas,Posadas,323739
Pontevedra,Pontevedra,33515
PiranÌ©,Pirane,19124
Paso de los Libres,Paso de los Libres,43805
OberÌÁ,Obera,56528
Necochea,Necochea,80478
MorÌ_n,Moron,319934
Monte Caseros,Monte Caseros,24671
Montecarlo,Montecarlo,22229
Mercedes,Mercedes,52949
Mercedes,Mercedes,30649
Mar del Plata,Mar del Plata,553935
LujÌÁn,Lujan,81749
La Plata,La Plata,694167
La Paz,La Paz,24716
JardÌ_n AmÌ©rica,Jardin America,24905
GualeguaychÌ¼,Gualeguaychu,78676
Gualeguay,Gualeguay,33120
Goya,Goya,70245
Gobernador Ingeniero ValentÌ_n Virasoro,Gobernador Ingeniero Valentin Virasoro,28756
General JosÌ© de San MartÌ_n,General Jose de San Martin,31758
GarupÌÁ,Garupa,28814
Formosa,Formosa,221383
Fontana,Fontana,26745
Federal,Federal,16333
Esquina,Esquina,26399
El Soberbio,El Soberbio,19571
Dolores,Dolores,25190
CuruzÌ¼ CuatiÌÁ,Curuzu Cuatia,36390
Corrientes,Corrientes,339067
Concordia,Concordia,145210
ConcepciÌ_n del Uruguay,Concepcion del Uruguay,67895
Colegiales,Colegiales,57000
ChajarÌ_,Chajari,30655
Campana,Campana,81612
Buenos Aires,Buenos Aires,13076300
Barranqueras,Barranqueras,50823
Azul,Azul,53941
Avellaneda,Avellaneda,23077
AristÌ_bulo del Valle,Aristobulo del Valle,20683
Zapala,Zapala,31534
Yerba Buena,Yerba Buena,50783
Villa Regina,Villa Regina,31209
Villa Paula de Sarmiento,Villa Paula de Sarmiento,19092
Villa Nueva,Villa Nueva,16841
Villa MarÌ_a,Villa Maria,92453
Villa Dolores,Villa Dolores,28009
Villa ConstituciÌ_n,Villa Constitucion,44271
Villa Carlos Paz,Villa Carlos Paz,69451
Villa Ìngela,Villa Angela,43511
Villa Allende,Villa Allende,21683
Viedma,Viedma,48940
Victoria,Victoria,25139
Vera,Vera,19797
Venado Tuerto,Venado Tuerto,72340
Veinticinco de Mayo,Veinticinco de Mayo,24668
Ushuaia,Ushuaia,58028
Unquillo,Unquillo,15369
Tres Isletas,Tres Isletas,24747
Tres Arroyos,Tres Arroyos,47136
Trelew,Trelew,93442
Termas de RÌ_o Hondo,Termas de Rio Hondo,27838
Tartagal,Tartagal,60819
TafÌ_ Viejo,Tafi Viejo,48459
Sunchales,Sunchales,18757
Santo TomÌ©,Santo Tome,59072
Santiago del Estero,Santiago del Estero,354692
Santa Rosa,Santa Rosa,111424
Santa LucÌ_a,Santa Lucia,43565
Santa Fe de la Vera Cruz,Santa Fe de la Vera Cruz,489505
San Salvador de Jujuy,San Salvador de Jujuy,305891
San RamÌ_n de la Nueva OrÌÁn,San Ramon de la Nueva Oran,74059
San Rafael,San Rafael,109163
San Pedro,San Pedro,58430
San NicolÌÁs de los Arroyos,San Nicolas de los Arroyos,127742
San Miguel de TucumÌÁn,San Miguel de Tucuman,781023
San MartÌ_n de los Andes,San Martin de los Andes,23519
San MartÌ_n,San Martin,82549
San Luis,San Luis,183982
San Justo,San Justo,21809
San Juan,San Juan,447048
San JosÌ© de JÌÁchal,San Jose de Jachal,21018
San Jorge,San Jorge,16873
San Francisco,San Francisco,59062
San Fernando del Valle de Catamarca,San Fernando del Valle de Catamarca,188812
San Antonio Oeste,San Antonio Oeste,16966
Salta,Salta,512686
Rufino,Rufino,18361
Rosario,Rosario,1173533
RÌ_o Tercero,Rio Tercero,53389
RÌ_o Segundo,Rio Segundo,18155
RÌ_o Gallegos,Rio Gallegos,85700
RÌ_o Cuarto,Rio Cuarto,153757
RÌ_o Ceballos,Rio Ceballos,16632
Rawson,Rawson,26335
Rafaela,Rafaela,88713
Quitilipi,Quitilipi,32083
Punta Alta,Punta Alta,57209
Puerto Madryn,Puerto Madryn,64555
Presidencia Roque SÌÁenz PeÌ±a,Presidencia Roque Saenz Pena,81879
Pocito,Pocito,40969
Plottier,Plottier,25186
Pergamino,Pergamino,87652
PÌ©rez,Perez,24436
ParanÌÁ,Parana,262295
PalpalÌÁ,Palpala,48199
OlavarrÌ_a,Olavarria,86320
Nueve de Julio,Nueve de Julio,34718
NeuquÌ©n,Neuquen,242092
Morteros,Morteros,15129
Monteros,Monteros,23771
Mendoza,Mendoza,876884
Marcos JuÌÁrez,Marcos Juarez,24226
Machagai,Machagai,28070
Lincoln,Lincoln,41808
Libertador General San MartÌ_n,Libertador General San Martin,49267
Las BreÌ±as,Las Brenas,26955
La Rioja,La Rioja,162620
La Falda,La Falda,15112
La Calera,La Calera,24796
Laboulaye,Laboulaye,19908
JunÌ_n,Junin,85007
JoaquÌ_n V. GonzÌÁlez,Joaquin V. Gonzalez,19185
JesÌ¼s MarÌ_a,Jesus Maria,26825
Granadero Baigorria,Granadero Baigorria,32427
Gobernador GÌÁlvez,Gobernador Galvez,74650
General Villegas,General Villegas,16270
General Roca,General Roca,73212
General Pinedo,General Pinedo,15741
General Pico,General Pico,57029
General Enrique Mosconi,General Enrique Mosconi,19811
GÌÁlvez,Galvez,18374
Firmat,Firmat,18294
FamaillÌÁ,Famailla,30951
Esquel,Esquel,28486
Esperanza,Esperanza,35885
EmbarcaciÌ_n,Embarcacion,23961
Embalse,Embalse,15900
El BolsÌ_n,El Bolson,15537
Diamante,Diamante,19545
DeÌÁn Funes,Dean Funes,20164
Cutral-CÌ_,Cutral-Co,47380
Cruz del Eje,Cruz del Eje,28166
Crespo,Crespo,18296
CosquÌ_n,Cosquin,19070
Coronel SuÌÁrez,Coronel Suarez,27000
Coronda,Coronda,16975
CÌ_rdoba,Cordoba,1428214
Comodoro Rivadavia,Comodoro Rivadavia,140850
Cipolletti,Cipolletti,75078
Cinco Saltos,Cinco Saltos,19819
Chivilcoy,Chivilcoy,54514
Chimbas,Chimbas,73829
Chilecito,Chilecito,42248
Charata,Charata,27813
Chacabuco,Chacabuco,34587
Centenario,Centenario,28956
Caucete,Caucete,33609
Catriel,Catriel,15169
Castelli,Castelli,36588
Casilda,Casilda,32002
CarcaraÌ±ÌÁ,Carcarana,15619
CapitÌÁn BermÌ¼dez,Capitan Bermudez,27060
CaÌ±ada de GÌ_mez,Canada de Gomez,36000
Caleta Olivia,Caleta Olivia,36077
Bell Ville,Bell Ville,35105
Bella Vista,Bella Vista,15126
BahÌ_a Blanca,Bahia Blanca,276546
Arroyo Seco,Arroyo Seco,20008
Arroyito,Arroyito,19577
AÌ±atuya,Anatuya,20261
Alta Gracia,Alta Gracia,40384
Allen,Allen,26083
Alderetes,Alderetes,38466
AlbardÌ_n,Albardon,20413
Aguilares,Aguilares,32494
Villa Santa Rita,Villa Santa Rita,34000
Villa Mercedes,Villa Mercedes,96781
San Carlos de Bariloche,San Carlos de Bariloche,95394
AdroguÌ©,Adrogue,28265
Pago Pago,Pago Pago,11500
Wolfsberg,Wolfsberg,25610
Wiener Neustadt,Wiener Neustadt,38481
Vienna,Vienna,1691468
Wels,Wels,57946
Weinzierl bei Krems,Weinzierl bei Krems,24092
Villach,Villach,58882
Traun,Traun,23959
Traiskirchen,Traiskirchen,16212
Ternitz,Ternitz,15153
Steyr,Steyr,39566
Spittal an der Drau,Spittal an der Drau,16363
Schwechat,Schwechat,15711
Sankt PÌ¦lten,Sankt Poelten,49001
Salzburg,Salzburg,150269
Saalfelden am Steinernen Meer,Saalfelden am Steinernen Meer,16119
MÌ¦dling,Modling,20710
Lustenau,Lustenau,20218
Linz,Linz,181162
Leonding,Leonding,22736
Leoben,Leoben,24809
Kufstein,Kufstein,16115
Krems an der Donau,Krems an der Donau,23932
Klosterneuburg,Klosterneuburg,24843
Klagenfurt am WÌ¦rthersee,Klagenfurt am Woerthersee,90610
Kapfenberg,Kapfenberg,21819
Innsbruck,Innsbruck,112467
Hallein,Hallein,18980
Graz,Graz,222326
Feldkirch,Feldkirch,31082
Dornbirn,Dornbirn,43013
Bregenz,Bregenz,27611
Braunau am Inn,Braunau am Inn,16403
Baden,Baden,24893
Amstetten,Amstetten,22832
Ansfelden,Ansfelden,15673
Whyalla,Whyalla,19645
Rockingham,Rockingham,108022
Prospect,Prospect,20217
Port Hedland,Port Hedland,15044
Perth,Perth,1896548
Murray Bridge,Murray Bridge,19577
Mount Isa,Mount Isa,22785
Morphett Vale,Morphett Vale,22602
Mandurah,Mandurah,83294
Kwinana,Kwinana,30433
Kalgoorlie,Kalgoorlie,31107
Gosnells,Gosnells,17277
Geraldton,Geraldton,26872
Gawler,Gawler,20006
Fremantle,Fremantle,24835
Darwin,Darwin,129062
Busselton,Busselton,21898
Bunbury,Bunbury,68248
Armadale,Armadale,62296
Alice Springs,Alice Springs,25186
Albany,Albany,33650
Adelaide,Adelaide,1225235
Woodridge,Woodridge,20650
Wodonga,Wodonga,31605
Werribee,Werribee,37737
Warrnambool,Warrnambool,33982
Wantirna South,Wantirna South,17477
Wangaratta,Wangaratta,16845
Wagga Wagga,Wagga Wagga,46913
Traralgon,Traralgon,21960
Townsville,Townsville,196219
Toowoomba,Toowoomba,131258
Thornbury,Thornbury,17434
Thomastown,Thomastown,20331
Tarneit,Tarneit,21690
Taree,Taree,16621
Tamworth,Tamworth,47597
Sydney,Sydney,4627345
Surfers Paradise,Surfers Paradise,18501
Sunnybank,Sunnybank,16442
Sunbury,Sunbury,29925
Port Stephens,Port Stephens,27531
Springvale,Springvale,19771
Southport,Southport,28315
South Grafton,South Grafton,16399
Shepparton,Shepparton,38773
Seaford,Seaford,16033
Saint Kilda,Saint Kilda,17795
Saint Albans,Saint Albans,35091
Rowville,Rowville,34145
Rockhampton,Rockhampton,61724
Richmond,Richmond,26121
Reservoir,Reservoir,47637
Queanbeyan,Queanbeyan,40661
Quakers Hill,Quakers Hill,25017
Preston,Preston,29925
Port Macquarie,Port Macquarie,41491
Point Cook,Point Cook,32413
Pakenham South,Pakenham South,32911
Orange,Orange,39329
Nowra,Nowra,34479
Northcote,Northcote,22920
Noble Park,Noble Park,28377
Newcastle,Newcastle,308308
Nerang,Nerang,16256
Narre Warren,Narre Warren,25882
Narangba,Narangba,16223
Mulgrave,Mulgrave,17647
Mount Martha,Mount Martha,17087
Mount Gambier,Mount Gambier,23209
Mount Eliza,Mount Eliza,17248
Mosman,Mosman,26236
Mornington,Mornington,22421
Morayfield,Morayfield,18020
Moe,Moe,15582
Mill Park,Mill Park,30517
Mildura,Mildura,30016
Melton,Melton,35490
Melbourne,Melbourne,4246375
Maryborough,Maryborough,21501
Marrickville,Marrickville,23161
Maroubra,Maroubra,26538
Maitland,Maitland,67132
Mackay,Mackay,74219
Liverpool,Liverpool,21317
Lismore,Lismore,30086
Lilydale,Lilydale,15649
Launceston,Launceston,106153
Lara,Lara,15520
Langwarrin,Langwarrin,21371
Lalor,Lalor,19873
Keysborough,Keysborough,22700
Kew,Kew,23876
Katoomba,Katoomba,18593
Hornsby,Hornsby,19863
Hobart,Hobart,216656
Hawthorn South,Hawthorn South,21177
Hampton Park,Hampton Park,23767
Griffith,Griffith,15455
Greensborough,Greensborough,20214
Granville,Granville,22889
Goulburn,Goulburn,20940
Gold Coast,Gold Coast,591473
Glenroy,Glenroy,19644
Glenferrie,Glenferrie,21177
Gladstone,Gladstone,30489
Geelong,Geelong,226034
Frankston East,Frankston East,34457
Frankston,Frankston,34457
Forster,Forster,17591
Essendon,Essendon,18852
Epping,Epping,32200
Epping,Epping,18969
Engadine,Engadine,17937
Eltham,Eltham,18162
Echuca,Echuca,19457
Earlwood,Earlwood,16564
Dubbo,Dubbo,32327
Doncaster East,Doncaster East,27047
Doncaster,Doncaster,18359
Devonport,Devonport,19317
Deer Park,Deer Park,16204
Deception Bay,Deception Bay,16090
Dandenong,Dandenong,24919
Cronulla,Cronulla,16754
Cranbourne,Cranbourne,39419
Cranbourne,Cranbourne,18622
Craigieburn,Craigieburn,19728
Coffs Harbour,Coffs Harbour,26353
Coburg,Coburg,24977
Clayton,Clayton,15543
Wollongong,Wollongong,292190
Cessnock,Cessnock,16393
Castle Hill,Castle Hill,35389
Carrum Downs,Carrum Downs,17213
Carnegie,Carnegie,16299
Carlingford,Carlingford,21364
Caringbah,Caringbah,21283
Canberra,Canberra,367752
Camberwell,Camberwell,19637
Caloundra,Caloundra,38706
Cairns,Cairns,153075
Caboolture,Caboolture,21478
Burnie,Burnie,19972
Bundaberg,Bundaberg,70826
Buderim,Buderim,15228
Brunswick,Brunswick,19867
Broken Hill,Broken Hill,18430
Brisbane,Brisbane,2189878
Boronia,Boronia,20825
Blacktown,Blacktown,39000
Berwick,Berwick,44779
Bendigo,Bendigo,100617
Baulkham Hills,Baulkham Hills,33945
Bathurst,Bathurst,33110
Banora Point,Banora Point,27368
Bankstown,Bankstown,30572
Ballarat,Ballarat,97937
Auburn,Auburn,33122
Ashfield,Ashfield,22000
Armidale,Armidale,22673
Albury,Albury,45627
South Brisbane,South Brisbane,60000
Cheltenham,Cheltenham,20292
Randwick,Randwick,25819
Dee Why,Dee Why,17463
Umina,Umina,16059
Palmerston,Palmerston,25000
Bracken Ridge,Bracken Ridge,15355
North Ryde,North Ryde,17208
Hoppers Crossing,Hoppers Crossing,38108
Logan City,Logan City,282673
Carindale,Carindale,15135
Parramatta,Parramatta,18448
Ferntree Gully,Ferntree Gully,24724
City of Parramatta,City of Parramatta,19745
Adelaide Hills,Adelaide Hills,60394
Canning Vale,Canning Vale,23289
Glenmore Park,Glenmore Park,19200
Glen Iris,Glen Iris,23270
Balwyn North,Balwyn North,19968
Malvern East,Malvern East,19593
Brighton East,Brighton East,15167
Booval,Booval,20540
St Albans,St Albans,33511
Endeavour Hills,Endeavour Hills,25000
Taylors Lakes,Taylors Lakes,16095
Roxburgh Park,Roxburgh Park,19235
Wyndham Vale,Wyndham Vale,17304
Willetton,Willetton,17243
Thornlie,Thornlie,22265
Hillside,Hillside,16326
Bundoora,Bundoora,25709
Forest Lake,Forest Lake,22426
Sunnybank Hills,Sunnybank Hills,16830
Narre Warren South,Narre Warren South,28594
Dandenong North,Dandenong North,21910
Frankston South,Frankston South,17360
Sunshine West,Sunshine West,16743
Altona Meadows,Altona Meadows,18746
West Pennant,West Pennant,15967
Oranjestad,Oranjestad,29998
Mariehamn,Mariehamn,10682
Xankandi,Xankandi,53100
®hmƒªdbƒªyli,Ahmadbayli,17242
Shushi,Shushi,18662
Salyan,Salyan,36555
Saatl€±,Saatli,87000
NeftÌ¤ala,Neftcala,18661
Nakhchivan,Nakhchivan,64754
Lankaran,Lankaran,240300
Imishli,Imishli,34178
Fizuli,Fizuli,26765
Dzhalilabad,Dzhalilabad,36259
Pushkino,Pushkino,18182
Beylagan,Beylagan,15599
Astara,Astara,15190
_irvan,Sirvan,70220
A€Ùdam,Agdam,39451
Zaqatala,Zaqatala,18277
Zabrat,Zabrat,21396
Yevlakh,Yevlakh,59036
Yelenendorf,Yelenendorf,17816
XaÌ¤maz,Xacmaz,37175
Ujar,Ujar,15741
Terter,Terter,18185
Sumqay€±t,Sumqayit,265150
QaraÌ¤uxur,Qaracuxur,72989
Shamkhor,Shamkhor,35421
Shamakhi,Shamakhi,29403
Sheki,Sheki,63000
SabunÌ¤u,Sabuncu,20996
Sabirabad,Sabirabad,28075
Qusar,Qusar,16022
Quba,Quba,22405
Hac€±qabul,Haciqabul,23102
Qazax,Qazax,18903
Hac€± Zeynalabdin,Haci Zeynalabdin,19019
Mingelchaur,Mingelchaur,95453
MaÙta€Ùa,Mastaga,40092
Mardakan,Mardakan,15267
LÌ¦kbatan,Lokbatan,30694
Kyurdarmir,Kyurdarmir,19088
Khirdalan,Khirdalan,37949
Yeni Suraxan€±,Yeni Suraxani,16127
Geoktschai,Geoktschai,35348
HÌ¦vsan,Hovsan,36293
Ganja,Ganja,313300
Divichibazar,Divichibazar,23248
Buzovna,Buzovna,24795
Biny Selo,Biny Selo,24596
Barda,Barda,37372
Bilajari,Bilajari,42194
Baku,Baku,1116513
Amirdzhan,Amirdzhan,26798
Aghsu,Aghsu,17209
A€ÙdaÙ,Agdas,23528
Agdzhabedy,Agdzhabedy,34989
Bak€±xanov,Bakixanov,66686
Zenica,Zenica,164423
Visoko,Visoko,17890
Velika KladuÁa,Velika Kladusa,19330
Tuzla,Tuzla,142486
Trebinje,Trebinje,33178
Travnik,Travnik,31127
Sarajevo,Sarajevo,696731
Prijedor,Prijedor,36347
Mostar,Mostar,104518
Grada€ac,Gradacac,15659
Gra€anica,Gracanica,15758
Gora_de,Gorazde,17650
Doboj,Doboj,27235
Cazin,Cazin,21741
Bugojno,Bugojno,41378
Br€ko,Brcko,38968
Bosanska Krupa,Bosanska Krupa,15193
Bijeljina,Bijeljina,37692
Biha€à,Bihac,75641
Banja Luka,Banja Luka,221106
Konjic,Konjic,15950
Bridgetown,Bridgetown,98511
Th€kurgaon,Thakurgaon,71096
Tekn€f,Teknaf,40557
Tungi,Tungi,337579
Sylhet,Sylhet,237000
Doh€r,Dohar,45543
Jam€lpur,Jamalpur,167900
Shibganj,Shibganj,378701
Shibganj,Shibganj,35961
S€tkhira,Satkhira,128918
Sirajganj,Sirajganj,127481
Netrakona,Netrakona,79016
Narsingdi,Narsingdi,281080
Sandw€Çp,Sandwip,52152
Sh€hz€dpur,Shahzadpur,102420
R€mganj,Ramganj,55241
R€jsh€hi,Rajshahi,700133
Pirojpur,Pirojpur,54418
Panchagarh,Panchagarh,48531
Patiya,Patiya,51360
Parbatipur,Parbatipur,48020
N€r€yanganj,Narayanganj,223622
N€lchiti,Nalchiti,38703
N€garpur,Nagarpur,238422
Nageswari,Nageswari,49425
Mymensingh,Mymensingh,225126
Mukt€g€cha,Muktagacha,24684
Mirz€pur,Mirzapur,41137
Maulavi B€z€r,Maulavi Bazar,57441
Morrelgonj,Morrelgonj,31647
Mehendiganj,Mehendiganj,39424
Mathba,Mathba,29760
Lalmonirhat,Lalmonirhat,65127
L€ksh€m,Laksham,82290
Comilla,Comilla,389411
Rangpur,Rangpur,343122
Kushtia,Kushtia,135724
K€l€Çganj,Kaliganj,45631
Jhingerg€cha,Jhingergacha,41957
Joypur H€t,Joypur Hat,73068
Ishurdi,Ishurdi,81995
Habiganj,Habiganj,88760
Gaurnadi,Gaurnadi,40519
Gafargaon,Gafargaon,34177
Feni,Feni,84028
R€ipur,Raipur,64652
Sarankhola,Sarankhola,36470
Dhaka,Dhaka,10356500
Chilm€ri,Chilmari,49736
Chh€galn€iya,Chhagalnaiya,39335
L€lmohan,Lalmohan,42220
Khagrachhari,Khagrachhari,50364
Chh€tak,Chhatak,39218
Bh€tp€ra Abhaynagar,Bhatpara Abhaynagar,42653
Bher€m€ra,Bheramara,38159
Bhairab B€z€r,Bhairab Bazar,105457
B€ndarban,Bandarban,32523
K€lia,Kalia,40492
Baniachang,Baniachang,37807
B€jitpur,Bajitpur,34560
Bagerhat,Bagerhat,266388
Badarganj,Badarganj,32600
Narail,Narail,55112
Tungip€ra,Tungipara,62210
Son€rgaon,Sonargaon,130000
Sarish€b€ri,Sarishabari,81325
Sakhipur,Sakhipur,40869
Raoj€n,Raojan,25708
Phultala,Phultala,37985
P€lang,Palang,67652
P€r Naogaon,Par Naogaon,192464
Nab€Çnagar,Nabinagar,31671
Lakshm€Çpur,Lakshmipur,61703
Kesabpur,Kesabpur,30926
H€j€Çganj,Hajiganj,44343
Far€Çdpur,Faridpur,112187
Din€jpur,Dinajpur,206234
Uttar Char Fasson,Uttar Char Fasson,48305
Chittagong,Chittagong,3920222
Char Bhadr€san,Char Bhadrasan,34423
Bera,Bera,39604
Burh€nuddin,Burhanuddin,45670
S€tkania,Satkania,52005
Cox‰Ûªs B€z€r,Cox's Bazar,253788
Khulna,Khulna,1342339
Bhola,Bhola,99079
Baris€l,Barisal,202242
Jessore,Jessore,243987
P€bna,Pabna,186781
T€ng€il,Tangail,180144
Bogra,Bogra,210000
P€Çrgaaj,Pirgaaj,34606
Naw€bganj,Nawabganj,142361
M€d€r€Çpur,Madaripur,84789
Sherpur,Sherpur,107419
Kishorganj,Kishorganj,90690
Manikchari,Manikchari,24813
Bh€nd€ria,Bhandaria,30219
Fatikchari,Fatikchari,33200
Saidpur,Saidpur,199422
Puthia,Puthia,159406
Natore,Natore,369138
Azimpur,Azimpur,96641
Paltan,Paltan,184492
Joymontop,Joymontop,56000
Zwijndrecht,Zwijndrecht,18249
Zwevegem,Zwevegem,23358
Zottegem,Zottegem,24434
Zonhoven,Zonhoven,19922
Zoersel,Zoersel,20642
Zemst,Zemst,21096
Zele,Zele,20236
Zedelgem,Zedelgem,21968
Zaventem,Zaventem,28188
Wuustwezel,Wuustwezel,18117
Willebroek,Willebroek,22808
Wevelgem,Wevelgem,30954
Wetteren,Wetteren,22930
Westerlo,Westerlo,22579
Wervik,Wervik,17340
Wavre,Wavre,32112
Waterloo,Waterloo,29778
Waregem,Waregem,35896
Walcourt,Walcourt,17501
VisÌ©,Vise,17054
Vilvoorde,Vilvoorde,36955
Verviers,Verviers,52824
Turnhout,Turnhout,39654
Tubize,Tubize,21859
Tournai,Tournai,67721
Torhout,Torhout,18933
Tongeren,Tongeren,29816
Tienen,Tienen,31743
Tielt,Tielt,19299
Tessenderlo,Tessenderlo,16574
Tervuren,Tervuren,20623
Temse,Temse,26054
Stekene,Stekene,16989
Stabroek,Stabroek,17294
Soumagne,Soumagne,15237
Soignies,Soignies,24869
Sint-Truiden,Sint-Truiden,37859
Sint-Pieters-Leeuw,Sint-Pieters-Leeuw,30446
Sint-Niklaas,Sint-Niklaas,69010
Sint-Kruis,Sint-Kruis,16000
Sint-Katelijne-Waver,Sint-Katelijne-Waver,19487
Sint-Gillis-Waas,Sint-Gillis-Waas,17658
Sint-Genesius-Rode,Sint-Genesius-Rode,17990
Seraing,Seraing,60737
Schoten,Schoten,33622
Schilde,Schilde,20373
Saint-Nicolas,Saint-Nicolas,22586
Saint-Ghislain,Saint-Ghislain,22500
Rotselaar,Rotselaar,15007
Ronse,Ronse,24204
Roeselare,Roeselare,56016
Rixensart,Rixensart,21616
Riemst,Riemst,15809
Ranst,Ranst,17405
Quaregnon,Quaregnon,18491
Puurs,Puurs,15944
Putte,Putte,15276
Poperinge,Poperinge,19537
Pont-ÌÊ-Celles,Pont-a-Celles,15909
PÌ©ruwelz,Peruwelz,16647
Peer,Peer,15551
Overijse,Overijse,23486
Oupeye,Oupeye,23594
Oudenaarde,Oudenaarde,27935
Oostkamp,Oostkamp,21489
Ostend,Ostend,69011
Nivelles,Nivelles,24149
Ninove,Ninove,34795
Nijlen,Nijlen,20792
Neerpelt,Neerpelt,16122
Namur,Namur,106284
